asset_name,entity_uri
201907_co.dex.pdf,http://www.themathcompany.com/cognition/Co.dex
201907_co.dex.pdf,http://www.wikidata.org/wiki/Q8513
201907_co.dex.pdf,http://www.wikidata.org/wiki/Q2374463
201907_co.dex.pdf,http://www.wikidata.org/wiki/Q294834
201907_co.dex.pdf,http://www.wikidata.org/wiki/Q340724
201907_co.dex.pdf,http://www.wikidata.org/wiki/Q439664
201907_co.dex.pdf,http://www.wikidata.org/wiki/Q1979154
201907_co.dex.pdf,http://www.themathcompany.com/cognition/Data_Ingestion
201907_co.dex.pdf,http://www.wikidata.org/wiki/Q22245680
201907_co.dex.pdf,http://www.themathcompany.com/cognition/Model_building_and_selection
201907_co.dex.pdf,http://www.themathcompany.com/cognition/Model_performance_monitoring
201907_co.dex.pdf,http://www.wikidata.org/wiki/Q39546
201907_co.dex.pdf,http://www.wikidata.org/wiki/Q11016
201907_co.dex.pdf,http://www.themathcompany.com/cognition/Infrastructure_provisioning
201907_co.dex.pdf,http://www.wikidata.org/wiki/Q209577
201907_co.dex.pdf,http://www.wikidata.org/wiki/Q2291388
201907_co.dex.pdf,http://www.wikidata.org/wiki/Q2023643
201907_co.dex.pdf,http://www.wikidata.org/wiki/Q8074
201907_co.dex.pdf,http://www.wikidata.org/wiki/Q1254596
201907_co.dex.pdf,http://www.wikidata.org/wiki/Q26287
201907_co.dex.pdf,http://www.themathcompany.com/cognition/client_environment
201907_co.dex.pdf,http://www.themathcompany.com/cognition/Component_A
201907_co.dex.pdf,http://www.themathcompany.com/cognition/store_data
201907_co.dex.pdf,http://www.wikidata.org/wiki/Q7216332
201907_co.dex.pdf,http://www.themathcompany.com/cognition/forecasting_models
201907_co.dex.pdf,http://www.themathcompany.com/cognition/Storage_of_data
201907_co.dex.pdf,http://www.themathcompany.com/cognition/TheMathMarket
201907_co.dex.pdf,http://www.themathcompany.com/cognition/Jupyter_notebooks
201907_co.dex.pdf,http://www.themathcompany.com/cognition/automates
201907_co.dex.pdf,http://www.wikidata.org/wiki/Q402577
201907_co.dex.pdf,http://www.wikidata.org/wiki/Q43967068
201907_co.dex.pdf,http://www.wikidata.org/wiki/Q4043142
201907_co.dex.pdf,http://www.wikidata.org/wiki/Q188889
201907_co.dex.pdf,http://www.themathcompany.com/cognition/Document_classifier
201907_co.dex.pdf,http://www.themathcompany.com/cognition/TestAndLearn
201907_co.dex.pdf,http://www.wikidata.org/wiki/Q220395
201907_co.dex.pdf,http://www.wikidata.org/wiki/Q1796457
201907_co.dex.pdf,http://www.wikidata.org/wiki/Q8567
201907_co.dex.pdf,http://www.wikidata.org/wiki/Q2004
201907_co.dex.pdf,http://www.wikidata.org/wiki/Q483639
201907_co.dex.pdf,http://www.wikidata.org/wiki/Q7252538
201907_co.dex.pdf,http://www.wikidata.org/wiki/Q250313
201907_co.dex.pdf,http://www.wikidata.org/wiki/Q16278284
201907_co.dex.pdf,http://www.wikidata.org/wiki/Q8351206
201907_co.dex.pdf,http://www.themathcompany.com/cognition/Data_Scientist
201907_co.dex.pdf,http://www.wikidata.org/wiki/Q219113
201907_co.dex.pdf,http://www.themathcompany.com/cognition/Individual_standalone_applications
201907_co.dex.pdf,http://www.wikidata.org/wiki/Q218846
201907_co.dex.pdf,http://www.themathcompany.com/cognition/This_is_great
201907_co.dex.pdf,http://www.wikidata.org/wiki/Q7889
201907_co.dex.pdf,http://www.themathcompany.com/cognition/Srivatsathemath
201907_co.dex.pdf,http://www.wikidata.org/wiki/Q747452
201907_co.dex.pdf,http://www.themathcompany.com/cognition/Knowledge_repository
201907_co.dex.pdf,http://www.themathcompany.com/cognition/Collaboration_Platform
201907_runsqloncloud.pdf,http://www.wikidata.org/wiki/Q841774
201907_runsqloncloud.pdf,http://www.wikidata.org/wiki/Q8486
201907_runsqloncloud.pdf,http://www.wikidata.org/wiki/Q537769
201907_runsqloncloud.pdf,http://www.wikidata.org/wiki/Q13516686
201907_runsqloncloud.pdf,http://www.themathcompany.com/cognition/SQL_Queries
201907_runsqloncloud.pdf,http://www.themathcompany.com/cognition/Data_Scientist
201907_runsqloncloud.pdf,http://www.themathcompany.com/cognition/data_on_cloud
201907_runsqloncloud.pdf,http://www.wikidata.org/wiki/Q7385
201907_runsqloncloud.pdf,http://www.wikidata.org/wiki/Q192726
201907_runsqloncloud.pdf,http://www.wikidata.org/wiki/Q8074
201907_runsqloncloud.pdf,http://www.wikidata.org/wiki/Q226733
201907_runsqloncloud.pdf,http://www.wikidata.org/wiki/Q218013
201907_runsqloncloud.pdf,http://www.themathcompany.com/cognition/Start_a_SQL_server
201907_runsqloncloud.pdf,http://www.wikidata.org/wiki/Q400708
201907_runsqloncloud.pdf,http://www.wikidata.org/wiki/Q47607
201907_runsqloncloud.pdf,http://www.wikidata.org/wiki/Q16278284
201907_runsqloncloud.pdf,http://www.wikidata.org/wiki/Q226998
201907_runsqloncloud.pdf,http://www.wikidata.org/wiki/Q99
201907_runsqloncloud.pdf,http://www.wikidata.org/wiki/Q235150
201907_runsqloncloud.pdf,http://www.wikidata.org/wiki/Q4634266
201907_runsqloncloud.pdf,http://www.themathcompany.com/cognition/Maintaining_the_VM
201907_runsqloncloud.pdf,http://www.wikidata.org/wiki/Q668
